fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
3,2,5.25,0,interlayer_A,continuous,-0.10413456126725046,-0.097958679040831,0.00617588222641946,-0.25858446329249163,-0.29966399159979007,0.04107952830729844,True,,,
3,2,5.25,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.21639105904467623,0.011023724918777733
3,2,5.25,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.008137921297610885,0.007523341260534196
3,2,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.20378841452178134,0.002553112539043445
3,2,5.25,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.03148562814388811,0.009880522492664127
3,2,5.25,1,interlayer_A,continuous,-0.10413456126725046,-0.023839303746642712,0.08029525752060775,-0.25858446329249163,-0.14938873471836797,0.10919572857412366,True,,,
3,2,5.25,1,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.1732294191981017,0.05418536476535227
3,2,5.25,1,composition_family,categorical,,,,,,,,0.01566126255814508,0.002162165622480696,0.013499096935664385
3,2,5.25,1,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.13777133699493913,0.06346396498779877
3,2,5.25,1,layer_class,categorical,,,,,,,,0.021605105651223984,1.9981578066452884e-05,0.02158512407315753
3,2,5.25,2,interlayer_A,continuous,-0.10413456126725046,-0.14896414293571839,0.04482958166846793,-0.25858446329249163,-0.26956573914347864,0.010981275850987016,True,,,
3,2,5.25,2,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.17135927451933683,0.056055509444117135
3,2,5.25,2,composition_family,categorical,,,,,,,,0.01566126255814508,0.000556385272977567,0.015104877285167514
3,2,5.25,2,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.2308478136548003,0.029612511672062414
3,2,5.25,2,layer_class,categorical,,,,,,,,0.021605105651223984,0.010938713092252098,0.010666392558971886
3,3,1.0,0,interlayer_A,continuous,-0.10413456126725046,-0.29974773607867544,0.19561317481142498,-0.25858446329249163,-0.6253419411314148,0.3667574778389232,True,,,
3,3,1.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.15412663651696698,0.07328814744648698
3,3,1.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.0005973618145576588,0.015063900743587422
3,3,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.4632310120910396,0.2619957101083017
3,3,1.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.01236317470330264,0.009241930947921344
3,3,3.0,0,interlayer_A,continuous,-0.10413456126725046,-0.14584972881839176,0.0417151675511413,-0.25858446329249163,-0.2905368461554039,0.0319523828629123,True,,,
3,3,3.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.2439894416441637,0.01657465768070973
3,3,3.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.01694192541477915,0.0012806628566340676
3,3,3.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.25168745581256224,0.05045215382982435
3,3,3.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.0019450575333143905,0.019660048117909595
3,3,5.25,0,interlayer_A,continuous,-0.10413456126725046,-0.09087607442694848,0.01325848684030198,-0.25858446329249163,-0.221801545038626,0.03678291825386562,True,,,
3,3,5.25,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.21650409713232155,0.010910686831132416
3,3,5.25,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.006258175964724619,0.009403086593420462
3,3,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.21708911010273854,0.015853808120000645
3,3,5.25,0,layer_class,categorical,,,,,,,,0.021605105651223984,2.936100298239232e-05,0.021575744648241593
